item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9
mobile_dev:0,design:1,web_dev:0,devops:0,machine_learning:0,cloud:1,sql:1,javascript:1,data_science:1
mobile_dev:0,design:0,web_dev:0,devops:1,machine_learning:0,cloud:1,sql:1,javascript:0,data_science:0
mobile_dev:0,design:0,web_dev:0,devops:0,machine_learning:0,cloud:1,sql:0,javascript:1,data_science:0
mobile_dev:1,design:0,web_dev:0,devops:1,machine_learning:0,cloud:1,sql:0,javascript:1,data_science:1
mobile_dev:0,design:1,web_dev:0,devops:1,machine_learning:0,cloud:0,sql:1,javascript:1,data_science:0
mobile_dev:0,design:0,web_dev:0,devops:1,machine_learning:1,cloud:0,sql:0,javascript:0,data_science:0
mobile_dev:0,design:0,web_dev:0,devops:1,machine_learning:0,cloud:1,sql:0,javascript:0,data_science:0
mobile_dev:1,design:0,web_dev:1,devops:1,machine_learning:0,cloud:0,sql:0,javascript:1,data_science:1
mobile_dev:0,design:0,web_dev:0,devops:1,machine_learning:0,cloud:0,sql:0,javascript:0,data_science:1
mobile_dev:1,design:0,web_dev:0,devops:1,machine_learning:1,cloud:1,sql:0,javascript:1,data_science:1
mobile_dev:0,design:0,web_dev:0,devops:0,machine_learning:0,cloud:1,sql:1,javascript:0,data_science:1
mobile_dev:0,design:0,web_dev:1,devops:0,machine_learning:0,cloud:1,sql:1,javascript:1,data_science:1
mobile_dev:0,design:0,web_dev:1,devops:0,machine_learning:0,cloud:0,sql:0,javascript:0,data_science:0
mobile_dev:1,design:0,web_dev:1,devops:0,machine_learning:0,cloud:1,sql:0,javascript:0,data_science:0
mobile_dev:0,design:1,web_dev:0,devops:1,machine_learning:0,cloud:1,sql:1,javascript:1,data_science:1
mobile_dev:0,design:0,web_dev:0,devops:1,machine_learning:1,cloud:1,sql:0,javascript:1,data_science:1
mobile_dev:1,design:1,web_dev:0,devops:1,machine_learning:0,cloud:1,sql:1,javascript:0,data_science:1
mobile_dev:1,design:0,web_dev:0,devops:1,machine_learning:1,cloud:0,sql:0,javascript:1,data_science:0
