item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
flowers:1,seeds:0,hose:1,fertilizer:1,mulch:0,gloves:0,tools:1,soil:1
flowers:1,seeds:1,hose:1,fertilizer:0,mulch:0,gloves:0,tools:0,soil:1
flowers:0,seeds:1,hose:1,fertilizer:0,mulch:0,gloves:0,tools:0,soil:0
flowers:0,seeds:1,hose:1,fertilizer:1,mulch:0,gloves:0,tools:0,soil:0
flowers:1,seeds:1,hose:1,fertilizer:1,mulch:1,gloves:0,tools:1,soil:0
flowers:1,seeds:0,hose:0,fertilizer:1,mulch:0,gloves:0,tools:0,soil:0
flowers:0,seeds:1,hose:0,fertilizer:1,mulch:0,gloves:0,tools:0,soil:0
flowers:0,seeds:1,hose:0,fertilizer:0,mulch:1,gloves:0,tools:0,soil:0
flowers:0,seeds:0,hose:1,fertilizer:1,mulch:0,gloves:0,tools:0,soil:1
flowers:0,seeds:0,hose:0,fertilizer:1,mulch:1,gloves:1,tools:0,soil:0
